Year;EventName;TrackName
1996;80th Indianapolis 500;Indianapolis
1996;Dura Lube 200;
1997;81st Indianapolis 500;Indianapolis
1997;Indy 200 at Walt Disney World;
1997;Pennzoil 200;
1997;Phoenix 200;
1997;Samsonite 200;
1997;True Value 200;
1997;VisionAire 500K;
1998;82nd Indianapolis 500;Indianapolis
1998;Atlanta 500 Classic;
1998;Dura-Lube 200;
1998;Indy 200;
1998;Las Vegas 500K;
1998;Lone Star 500;
1998;New England 200;
1998;Pep Boys 400K;
1998;True Value 500;
1998;Visionaire 500K;
1999;83rd Indianaplis 500;Indianapolis
1999;Colorado Indy 200;
1999;Kobalt Mechanics Tools 500;
1999;Longhorn 500;
1999;Mall.com 500;
1999;MBNA Mid-Atlantic 200;
1999;Radisson 200;
1999;Vegas.com 500;
2000;84th Indianapolis 500;Indianapolis
2000;Delphi Indy 200;
2000;Excite 500;
2000;MCI WorldCom Indy 200;
2000;Midas 500 Classic;
2000;Vegas Indy 300;
2001;85th Indianapolis 500;Indianapolis
2001;Belterra Resort Indy 300;
2001;Casino Magic 500;
2001;Harrah's 200;
2001;Infiniti Grand Prix of Miami;
2001;Pennzoil Copper World Indy 200;
2001;Radisson Indy 200;
2001;zMax 500;
2002;86th Indianapolis 500;Indianapolis
2002;Ameristar Casino Indy 200;
2002;Bombardier ATV 200;
2002;Boomtown 500;
2002;Gateway Indy 250;
2002;Grand Prix of Miami;
2002;Radisson Indy 225;
2002;Yamaha Indy 400;
2003;87th Indianapolis 500;Indianapolis
2003;Emerson Indy 250;
2003;Kansas Indy 300;
2003;Purex Dial Indy 200;
2004;88th Indianapolis 500;Indianapolis
2004;Belterra Casino Indy 300;
2004;Bombardier 500;
2004;Chevy 500;
2004;Copper World Indy 200;
2004;Delphi Indy 300;
2004;Firestone Indy 225;
2004;Menard A.J. Foyt 225;
2004;Michigan Indy 400;
2005;89th Indianapolis 500;Indianapolis
2005;AMBER Alert Portal Indy 300;
2005;Argent Mortgage Indy 300;
2005;Argent Mortgage Indy Grand Prix;
2005;Honda Indy 225;
2005;Peak Antifreeze Indy 300;
2005;Toyota Indy 400;
2005;Watkins Glen Indy Grand Prix;Watkins Glen
2005;XM Satellite Radio Indy 200;
2006;90th Indianapolis 500;Indianapolis
2006;Bombardier Learjet 500;
2006;Kansas Lottery 300;
2006;Meijer Indy 300 presented by Coca-Cola and Secret;
2006;SunTrust Indy;
2006;Toyota Indy 300;
2006;Watkins Glen Indy Grand Prix presented by Tissot;
2007;91st Indianapolis 500;Indianapolis
2007;ABC Supply Company A.J. Foyt 225;
2007;Firestone Indy 400;
2007;Iowa Corn Indy 250 presented by Ethanol;Iowa
2007;Kansas Lottery Indy 300;
2007;Meijer Indy 300 presented by Coca-Cola and Edy's;
2007;Motorola Indy 300;
2007;Peak Antifreeze Indy 300 presented by Mr. Clean;
2007;SunTrust Indy Challenge presented by XM Satellite Radio;
2007;The Honda 200 at Mid-Ohio presented by Westfield Insurance;
2007;XM Satellite Radio Indy 300;
2008;92nd Indianapolis 500;Indianapolis
2008;ABC Supply/A.J. Foyt Indy 225;
2008;Camping World Watkins Glen Grand Prix;Watkins Glen
2008;Detroit Indy Grand Prix presented by Firestone;
2008;Firestone Indy 200;
2008;GAINSCO Auto Insurance Indy 300;
2008;Peak Antifreeze & Motor Oil Indy 300;
2008;Peak Antifreeze & Motor Oil Indy Grand Prix of Sonoma County;
2008;RoadRunner Turbo Indy 300;
